NAME,median_household_income,median_gross_rent,median_home_value,total_pop,white_nonhispanic,black_nonhispanic,hispanic_latino,state,county,tract,year,GEOID,boundary_vintage,cpi,inflation_factor,real_median_household_income,real_median_gross_rent,real_median_home_value
"Census Tract 83.05, Denver County, Colorado",42639.0,1082.0,137500.0,3779.0,420.0,795.0,2469.0,08,031,008305,2011,08031008305,2010_tracts,224.93916666666667,1.30104028126123,55475.05655269759,1407.725584324651,178893.03867341913
"Census Tract 28.02, Denver County, Colorado",48053.0,717.0,327600.0,4153.0,3224.0,51.0,684.0,08,031,002802,2011,08031002802,2010_tracts,224.93916666666667,1.30104028126123,62518.88863544589,932.8458816643019,426220.796141179
"Census Tract 41.04, Denver County, Colorado",45573.0,1113.0,224800.0,3965.0,1123.0,1678.0,838.0,08,031,004104,2011,08031004104,2010_tracts,224.93916666666667,1.30104028126123,59292.308737918036,1448.057833043749,292473.85522752453
"Census Tract 68.04, Denver County, Colorado",73750.0,1182.0,332300.0,2021.0,1845.0,55.0,80.0,08,031,006804,2011,08031006804,2010_tracts,224.93916666666667,1.30104028126123,95951.72074301571,1537.829612450774,432335.6854631067
"Census Tract 7.01, Denver County, Colorado",32647.0,696.0,233100.0,3937.0,1457.0,69.0,2286.0,08,031,000701,2011,08031000701,2010_tracts,224.93916666666667,1.30104028126123,42475.062062335375,905.5240357578161,303272.48956199276
"Census Tract 31.02, Denver County, Colorado",26958.0,535.0,285300.0,2891.0,1908.0,492.0,376.0,08,031,003102,2011,08031003102,2010_tracts,224.93916666666667,1.30104028126123,35073.44390224024,696.0565504747581,371186.79224382894
"Census Tract 36.02, Denver County, Colorado",35506.0,787.0,176600.0,4764.0,645.0,1608.0,2335.0,08,031,003602,2011,08031003602,2010_tracts,224.93916666666667,1.30104028126123,46194.73622646123,1023.9187013525881,229763.71367073324
"Census Tract 67.01, Denver County, Colorado",44205.0,1152.0,453400.0,1951.0,1658.0,71.0,102.0,08,031,006701,2011,08031006701,2010_tracts,224.93916666666667,1.30104028126123,57512.485633152675,1498.798404012937,589891.6635238418
"Census Tract 4.01, Denver County, Colorado",48019.0,834.0,265900.0,3607.0,1760.0,92.0,1558.0,08,031,000401,2011,08031000401,2010_tracts,224.93916666666667,1.30104028126123,62474.653265883004,1085.0675945718658,345946.61078736105
"Census Tract 24.03, Denver County, Colorado",31385.0,474.0,320600.0,2838.0,1306.0,676.0,740.0,08,031,002403,2011,08031002403,2010_tracts,224.93916666666667,1.30104028126123,40833.14922738371,616.693093317823,417113.51417235035
"Census Tract 119.02, Denver County, Colorado",45510.0,827.0,236100.0,7251.0,3513.0,9.0,3393.0,08,031,011902,2011,08031011902,2010_tracts,224.93916666666667,1.30104028126123,59210.34320019858,1075.9603126030372,307175.6104057764
"Census Tract 7.02, Denver County, Colorado",30714.0,730.0,204700.0,5398.0,1331.0,151.0,3839.0,08,031,000702,2011,08031000702,2010_tracts,224.93916666666667,1.30104028126123,39960.15119865742,949.759405320698,266322.9455741738
"Census Tract 27.02, Denver County, Colorado",42684.0,776.0,248500.0,5413.0,4382.0,161.0,358.0,08,031,002702,2011,08031002702,2010_tracts,224.93916666666667,1.30104028126123,55533.60336535434,1009.6072582587145,323308.50989341567
"Census Tract 39.01, Denver County, Colorado",149231.0,1740.0,665500.0,4202.0,3839.0,0.0,173.0,08,031,003901,2011,08031003901,2010_tracts,224.93916666666667,1.30104028126123,194155.54221289462,2263.8100893945402,865842.3071793487
"Census Tract 28.03, Denver County, Colorado",47766.0,792.0,249600.0,3989.0,3583.0,99.0,171.0,08,031,002803,2011,08031002803,2010_tracts,224.93916666666667,1.30104028126123,62145.490074723915,1030.4239027588942,324739.65420280304
"Census Tract 55.02, Denver County, Colorado",58966.0,1113.0,237800.0,1829.0,889.0,104.0,661.0,08,031,005502,2011,08031005502,2010_tracts,224.93916666666667,1.30104028126123,76717.14122484969,1448.057833043749,309387.3788839205
"Census Tract 70.88, Denver County, Colorado",37393.0,1128.0,169100.0,4010.0,2556.0,610.0,531.0,08,031,007088,2011,08031007088,2010_tracts,224.93916666666667,1.30104028126123,48649.79923720117,1467.5734372626675,220005.911561274
"Census Tract 70.89, Denver County, Colorado",25436.0,706.0,104000.0,4861.0,3734.0,608.0,391.0,08,031,007089,2011,08031007089,2010_tracts,224.93916666666667,1.30104028126123,33093.260594160645,918.5344385704284,135308.18925116793
"Census Tract 120.01, Denver County, Colorado",52468.0,661.0,376000.0,2256.0,1479.0,72.0,499.0,08,031,012001,2011,08031012001,2010_tracts,224.93916666666667,1.30104028126123,68262.98147721421,859.987625913673,489191.1457542225
"Census Tract 32.01, Denver County, Colorado",43488.0,754.0,201800.0,4698.0,3881.0,56.0,493.0,08,031,003201,2011,08031003201,2010_tracts,224.93916666666667,1.30104028126123,56579.63975148837,980.9843720709674,262549.9287585162
"Census Tract 38, Denver County, Colorado",75673.0,1096.0,658900.0,5224.0,4697.0,64.0,180.0,08,031,003800,2011,08031003800,2010_tracts,224.93916666666667,1.30104028126123,98453.62120388106,1425.9401482623082,857255.4413230245
"Census Tract 40.02, Denver County, Colorado",86563.0,1223.0,483200.0,3165.0,2867.0,0.0,166.0,08,031,004002,2011,08031004002,2010_tracts,224.93916666666667,1.30104028126123,112621.94986681586,1591.1722639824843,628662.6639054264
"Census Tract 40.04, Denver County, Colorado",86042.0,1375.0,264100.0,2096.0,1866.0,60.0,142.0,08,031,004004,2011,08031004004,2010_tracts,224.93916666666667,1.30104028126123,111944.10788027875,1788.9303867341914,343604.73828109086
"Census Tract 42.01, Denver County, Colorado",85000.0,851.0,437000.0,4696.0,3508.0,335.0,546.0,08,031,004201,2011,08031004201,2010_tracts,224.93916666666667,1.30104028126123,110588.42390720456,1107.1852793533067,568554.6029111575
"Census Tract 42.02, Denver County, Colorado",109617.0,1387.0,412900.0,3788.0,2756.0,381.0,298.0,08,031,004202,2011,08031004202,2010_tracts,224.93916666666667,1.30104028126123,142616.13251101226,1804.542870109326,537199.5321327619
"Census Tract 43.06, Denver County, Colorado",69936.0,1131.0,449200.0,4462.0,4014.0,149.0,222.0,08,031,004306,2011,08031004306,2010_tracts,224.93916666666667,1.30104028126123,90989.55311028539,1471.4765581064512,584427.2943425445
