neighborhood,total_housing,total_occupied_housing,total_vacant_housing,owner_occupied_units,renter_occupied_units,vacant_homes_rented,vacant_homes_sold,vacant_homes_seasonal,population,median_gross_rent,median_home_value,median_household_income,geometry,total_listings,pct_entire_home,avg_price,avg_bedrooms,avg_price_per_bedroom,avg_estimated_annual_revenue,estimated_total_annual_revenue,total_hosts,hobbyist_hosts,small_business_hosts,commercial_hosts
Marston,5614.0,5487.0,127.0,3330.0,2156.0,0.0,0.0,0.0,11635.0,1964.0,550295.0,87935.0,"POLYGON ((-4322130.826413 1379611.278122, -4321997.805968 1380151.438234, -4322103.646204 1380387.183009, -4324041.607006 1381888.451403, -4324630.277993 1382394.705081, -4324193.810249 1382284.176065, -4324594.782602 1382712.632157, -4325281.695261 1384529.368171, -4325309.981925 1385238.341317, -4325479.515324 1385271.799833, -4325477.006539 1385281.436485, -4326063.258639 1385430.831357, -4326167.902151 1385044.754997, -4325610.470975 1384902.734342, -4325888.352249 1383879.006208, -4326452.073551 1384022.664424, -4326336.679932 1384448.049381, -4326825.27824 1384572.666935, -4327056.097111 1383721.776154, -4327543.158261 1383823.519376, -4327447.119518 1384191.428336, -4328479.568133 1384451.689532, -4328745.936882 1383437.234387, -4331324.648083 1384104.503558, -4333206.982681 1384579.910631, -4332941.974207 1385595.857909, -4333067.736233 1385627.627499, -4333610.57885 1385764.225098, -4333208.683735 1387302.59935, -4332875.209018 1388579.327228, -4330314.417757 1387931.271306, -4327745.657747 1387272.048715, -4327415.466419 1388548.80789, -4325747.534571 1388124.533079, -4324801.560313 1387883.870814, -4324772.542788 1387876.586843, -4325008.262501 1387007.82943, -4324963.234816 1386969.675419, -4324849.226742 1386931.680528, -4324781.964366 1386920.2379, -4324691.759099 1386915.851503, -4324561.435131 1387041.792997, -4324498.23006 1387042.606591, -4324421.801868 1387040.946326, -4324305.291514 1387004.586705, -4323952.046405 1386819.115581, -4323834.417925 1386772.142862, -4323673.729304 1386736.710186, -4323444.32171 1386714.00761, -4323285.033767 1386669.391153, -4323181.957283 1386683.426285, -4323148.347157 1386699.36617, -4323149.849119 1386675.671144, -4322972.095587 1386680.699076, -4322744.215828 1386544.19269, -4322575.353874 1387210.546712, -4322567.984707 1387239.626495, -4322556.054743 1387286.703903, -4322533.7999 1387306.820086, -4322525.387764 1387314.423822, -4322268.324599 1387249.450559, -4320955.148452 1386916.834783, -4320422.055662 1386775.36901, -4319161.38054 1386456.556252, -4318926.480087 1386400.767107, -4318876.081205 1386357.910783, -4318673.483389 1386306.587984, -4318715.487128 1386207.318977, -4319245.534274 1384954.649578, -4318774.691594 1383634.610055, -4317983.023567 1382605.34987, -4318131.302877 1382044.390917, -4318920.518948 1381603.912478, -4319085.647854 1380989.46616, -4318450.730066 1380828.549818, -4318764.721507 1379635.348129, -4318990.704831 1379676.226267, -4319247.980124 1379829.096906, -4319495.57574 1379910.991717, -4319777.890206 1379911.124759, -4319854.575488 1379772.347728, -4319661.35705 1379507.37878, -4319883.343375 1379357.218338, -4319872.700535 1379360.389548, -4320346.621106 1378726.433714, -4320596.737477 1377675.089487, -4331226.696545 1380353.134169, -4330860.574442 1381808.110644, -4322130.826413 1379611.278122), (-4324957.624588 1386529.290653, -4324894.67321 1386771.097169, -4325061.845168 1386814.618353, -4325124.796556 1386572.81184, -4324957.624588 1386529.290653))",8,100.0,246.61,2.75,56.05,35339.8,176699.0,7,4,1,2
Fort Logan,1935.0,1741.0,194.0,1283.0,458.0,0.0,0.0,0.0,4232.0,1927.0,665828.0,106371.0,"POLYGON ((-4310689.930962 1389758.902721, -4311031.488124 1388436.98652, -4311362.524417 1387149.5296, -4311285.738931 1387129.927158, -4311308.475451 1387042.59136, -4311328.891504 1387025.69043, -4311493.603972 1386400.932592, -4311034.771893 1386280.062061, -4311128.557107 1385950.573748, -4310365.819475 1385745.807224, -4310417.149828 1385548.636213, -4310389.086203 1385541.330292, -4310590.969536 1384775.77542, -4310619.033254 1384783.081365, -4310758.286911 1384270.007771, -4312031.642162 1384592.206219, -4312535.054278 1382671.393221, -4311256.162554 1382341.682903, -4311275.339145 1382265.044687, -4311227.160803 1382162.347123, -4311222.178878 1382147.74649, -4311217.17387 1382129.264915, -4311214.051385 1382110.498546, -4311212.295986 1382091.442194, -4311212.360002 1382072.342879, -4311214.212093 1382053.321497, -4311217.547136 1382034.557105, -4311073.996494 1381990.598723, -4311073.544123 1381990.351862, -4311058.554547 1381985.416214, -4311043.942921 1381979.029066, -4311030.130067 1381971.558252, -4311016.937086 1381962.698845, -4311004.511296 1381952.876719, -4310992.884268 1381941.970889, -4310656.949599 1381640.752519, -4310626.78271 1381612.749797, -4310586.106972 1381580.461201, -4310542.635525 1381551.965507, -4310496.883672 1381527.267696, -4310449.303872 1381506.614728, -4310399.833145 1381490.248375, -4310349.228727 1381478.236849, -4310136.395271 1381422.570771, -4310144.142059 1381392.813642, -4310408.081143 1380383.926432, -4310472.201985 1380399.585983, -4310514.844328 1380410.428911, -4310667.685332 1380440.531377, -4310822.717656 1380457.254921, -4310978.458329 1380460.342474, -4311134.087144 1380449.968089, -4311287.847563 1380425.932685, -4311406.575788 1380403.497789, -4311535.323549 1380395.166708, -4312021.073263 1380522.786392, -4312154.894318 1380585.265317, -4312352.71364 1380691.658366, -4312494.595733 1380763.856396, -4312639.870248 1380826.992142, -4312994.746952 1380919.507931, -4313030.920263 1380781.551133, -4313300.321968 1380850.135718, -4313333.813937 1380860.404825, -4313366.308289 1380873.514024, -4313397.531406 1380889.5215, -4313427.273031 1380908.242929, -4313455.354044 1380929.373796, -4313481.259243 1380952.908881, -4313505.293535 1380978.669298, -4313526.794017 1381006.224268, -4313528.856904 1381009.215328, -4313547.684728 1381034.136979, -4313768.050496 1380841.577055, -4313887.580261 1380739.657778, -4313994.438926 1380662.597132, -4314310.291834 1381102.47468, -4314327.709523 1381125.866784, -4314346.809268 1381147.759404, -4314367.927396 1381167.852459, -4314382.184149 1381179.572081, -4314437.129516 1381228.491739, -4314460.147891 1381199.610369, -4314485.449547 1381172.87348, -4314509.092055 1381151.516954, -4314527.1017 1381138.897733, -4314607.384909 1381254.215733, -4314704.814267 1381186.583266, -4314795.523264 1381308.490402, -4314930.148663 1381213.084324, -4315054.907371 1381387.770951, -4315228.870213 1381256.365718, -4315285.452146 1381317.852697, -4315347.206034 1381374.357184, -4315413.774036 1381425.269287, -4315484.282876 1381469.974346, -4315558.701114 1381508.593193, -4315564.465893 1381511.256393, -4315248.754168 1382719.007877, -4317749.337107 1383375.362892, -4317076.008013 1385934.687063, -4318597.418516 1386318.946889, -4318562.967495 1386388.766903, -4318688.465131 1386359.182416, -4318727.701496 1386352.347634, -4318767.570553 1386349.035991, -4318807.5572 1386349.242028, -4318847.387809 1386353.024113, -4318876.081205 1386357.910783, -4318926.480087 1386400.767107, -4319161.38054 1386456.556252, -4320422.055662 1386775.36901, -4320955.148452 1386916.834783, -4322268.324599 1387249.450559, -4322525.387764 1387314.423822, -4322533.7999 1387306.820086, -4322556.054743 1387286.703903, -4323547.853424 1387536.816003, -4323506.156133 1387701.887636, -4323498.28711 1387730.879541, -4323489.075643 1387759.473262, -4323478.541746 1387787.606677, -4323466.708304 1387815.218661, -4323453.601027 1387842.249223, -4323439.248393 1387868.639636, -4323423.681584 1387894.332562, -4323406.934423 1387919.27218, -4323396.459272 1387933.679261, -4323390.757203 1387941.787217, -4323111.057709 1388312.642835, -4323086.885674 1388347.940132, -4323065.817261 1388385.207917, -4323048.157228 1388424.267156, -4323034.031612 1388464.634004, -4323029.233529 1388481.080046, -4323011.123063 1388544.691994, -4322999.54124 1388582.233717, -4322984.845882 1388618.835644, -4322966.921044 1388653.951105, -4322946.103042 1388687.279997, -4322922.391901 1388718.822441, -4322915.675343 1388726.760943, -4322408.668927 1389311.876133, -4322374.673924 1389347.199377, -4322337.648192 1389379.27961, -4322298.138816 1389408.000752, -4322256.177207 1389433.241924, -4322212.341685 1389454.766197, -4322166.453201 1389472.268717, -4322138.333982 1389480.708807, -4321773.507799 1389579.506379, -4321749.245736 1389587.489937, -4321746.127604 1389588.488366, -4321725.581186 1389596.959688, -4321706.076818 1389607.381432, -4321687.225449 1389619.26475, -4321669.721136 1389632.919518, -4321653.384905 1389648.040957, -4321638.279842 1389664.38704, -4321624.889777 1389682.083705, -4321613.035646 1389700.826018, -4321602.717604 1389720.613963, -4321594.271904 1389741.147817, -4321587.488402 1389762.243478, -4321578.865734 1389796.309714, -4321554.753329 1389790.242149, -4319153.977577 1389182.417151, -4319146.238368 1389211.400616, -4318815.993181 1390459.565814, -4318655.312006 1390418.897003, -4318650.472361 1390436.494711, -4317144.707581 1390057.226336, -4317003.527647 1390586.074411, -4316998.40291 1390605.40707, -4316603.990824 1390505.647864, -4316610.750458 1390480.10534, -4316056.239787 1390339.852086, -4316072.247694 1390424.423804, -4316188.842337 1390500.934621, -4316208.32882 1390506.642583, -4316227.43969 1390513.503961, -4316246.106742 1390521.494268, -4316264.263357 1390530.584988, -4316281.844735 1390540.743678, -4316298.788132 1390551.934081, -4316315.03308 1390564.116262, -4316330.521601 1390577.246744, -4316345.198419 1390591.278666, -4316359.011156 1390606.16195, -4316371.910515 1390621.843479, -4316383.850461 1390638.267289, -4316394.788381 1390655.374765, -4316404.68524 1390673.104853, -4316413.505716 1390691.394276, -4316421.218332 1390710.177763, -4316430.326442 1390740.2196, -4316449.717244 1390745.115339, -4316930.535294 1390866.511134, -4316850.741542 1391168.024847, -4316847.02758 1391187.713747, -4316842.54608 1391203.83485, -4316822.484159 1391281.603701, -4315927.634339 1391060.771602, -4315773.756577 1391020.711703, -4315762.784104 1391017.855175, -4315739.145978 1391011.945588, -4315652.866293 1390990.375685, -4315519.607755 1390957.062374, -4314952.462924 1390820.368653, -4314783.751502 1390789.533216, -4314424.397671 1390723.85409, -4313794.469632 1390660.86619, -4312452.01943 1390526.033582, -4311899.146213 1390473.061427, -4311689.679704 1390438.392417, -4311488.652322 1390388.265483, -4311364.809349 1390338.368809, -4311204.923318 1390265.84627, -4311030.297669 1390148.552782, -4310858.590659 1390006.410691, -4310841.519283 1389990.025338, -4310681.545192 1389836.47543, -4310689.930962 1389758.902721))",9,100.0,146.37,1.78,64.04,23974.0,167818.0,8,3,1,4
Bear Valley,3906.0,3636.0,269.0,2380.0,1256.0,0.0,0.0,0.0,8161.0,1724.0,555477.0,85977.0,"POLYGON ((-4321416.246838 1398528.762695, -4321366.477024 1398515.406898, -4321323.813314 1398505.298747, -4321280.89086 1398496.352806, -4321243.302291 1398487.996489, -4321206.348164 1398477.174241, -4321170.190064 1398463.933383, -4321134.986094 1398448.33181, -4321100.689343 1398431.774106, -4320745.386482 1398260.241915, -4320714.217892 1398383.962311, -4320536.583852 1398298.204553, -4320452.247955 1398535.283576, -4320278.496218 1398514.876724, -4320143.367758 1398641.139664, -4320042.509858 1398527.612675, -4319678.327527 1398263.517339, -4319601.485898 1398250.867064, -4319578.886442 1398102.626076, -4319437.823513 1398040.756741, -4319580.229156 1397478.610486, -4319580.084358 1397478.573583, -4318627.898073 1397235.898785, -4318323.596921 1397158.486197, -4318300.824344 1397152.686806, -4317021.749759 1396826.671582, -4314463.29531 1396174.821108, -4314594.281297 1395681.816014, -4314667.407372 1395393.238705, -4314743.077486 1395096.983244, -4314934.82345 1394336.422233, -4315196.639421 1393300.530705, -4315350.418295 1392689.598426, -4315415.264069 1392428.783455, -4315504.77879 1392072.536526, -4315699.413121 1391270.868902, -4315714.851177 1391218.922838, -4315756.882374 1391077.492947, -4315773.756577 1391020.711703, -4315927.634339 1391060.771602, -4316822.484159 1391281.603701, -4316842.54608 1391203.83485, -4316847.02758 1391187.713747, -4316850.741542 1391168.024847, -4317117.965586 1391235.492847, -4317247.452932 1390746.20359, -4317295.916691 1390758.439584, -4317315.0986 1390685.957547, -4318345.144646 1390946.020864, -4318324.685787 1391023.328012, -4318319.568922 1391042.662985, -4318479.499216 1391083.041784, -4318484.614661 1391063.707915, -4318593.912393 1390650.616724, -4318944.677131 1390739.335422, -4318997.559358 1390543.676861, -4319006.998632 1390508.001116, -4319026.386362 1390512.913238, -4319117.154839 1390535.91056, -4319136.638703 1390540.421782, -4320901.137335 1390986.714919, -4320865.144075 1391122.584668, -4320615.923147 1391055.854438, -4320544.496011 1391160.958864, -4320512.466936 1391208.496583, -4320402.554484 1391318.262369, -4320307.64712 1391414.119871, -4320281.763998 1391463.184048, -4320255.363483 1391483.160346, -4319950.630214 1391711.943087, -4319911.550219 1391702.059421, -4319906.421385 1391721.389766, -4319883.359484 1391808.309077, -4319729.842126 1391769.483284, -4319659.290316 1392035.390186, -4319597.341568 1392019.725634, -4319592.449452 1392039.117111, -4319435.535153 1392661.09737, -4319273.963766 1393302.559219, -4320062.064914 1393502.177074, -4320011.398417 1393702.749691, -4319949.799141 1393892.726332, -4319836.026046 1394276.166654, -4320311.245594 1394592.076765, -4320274.004304 1394740.088212, -4320942.176172 1394796.163972, -4321618.007659 1394823.650678, -4321566.5377 1395027.082352, -4321900.95785 1395443.662945, -4322026.576208 1395773.596138, -4322067.233521 1395955.983479, -4322658.094735 1396105.705969, -4322147.430024 1398116.251319, -4321931.940304 1398972.039711, -4321906.507407 1398952.469812, -4321903.856574 1398950.460398, -4321878.5748 1398930.06943, -4321852.844843 1398910.246992, -4321818.26625 1398885.003593, -4321782.961031 1398860.786869, -4321746.959658 1398837.61772, -4321710.293206 1398815.516146, -4321672.993322 1398794.501223, -4321635.092202 1398774.59109, -4321596.622559 1398755.802931, -4321557.617598 1398738.152964, -4321544.167991 1398732.383556, -4321499.002513 1398714.160772, -4321453.253314 1398697.457449, -4321409.132155 1398683.289583, -4321369.090467 1398672.273858, -4321369.273696 1398671.201734, -4321416.246838 1398528.762695), (-4318910.460469 1392043.531285, -4318957.253558 1391857.837123, -4318700.822132 1391793.016158, -4318656.869299 1391979.70791, -4318910.460469 1392043.531285), (-4318619.288974 1391637.84905, -4318714.329575 1391272.780859, -4318442.887189 1391202.114488, -4318347.846612 1391567.182686, -4318619.288974 1391637.84905))",11,63.64,180.96,1.9,95.24,6585.2,65852.0,10,6,1,3
Harvey Park South,3626.0,3396.0,230.0,1912.0,1484.0,39.0,0.0,0.0,8841.0,2093.0,553221.0,94378.0,"POLYGON ((-4306797.600495 1394194.87245, -4306867.676231 1393922.560974, -4306967.235848 1393524.570797, -4307015.05507 1393354.774589, -4307042.529857 1393250.974196, -4307132.790667 1392909.692489, -4307164.211654 1392788.25754, -4307311.641188 1392222.418538, -4307459.843427 1391652.076334, -4307742.112426 1390569.154171, -4307798.222804 1390353.179583, -4307797.163429 1390347.549645, -4307844.738319 1390359.288685, -4307838.077451 1390388.461555, -4309832.76938 1390894.357342, -4309810.007638 1390863.494936, -4309789.589201 1390830.439684, -4309770.702113 1390793.017743, -4309756.559174 1390757.863403, -4309747.062799 1390728.111316, -4309740.765649 1390703.295078, -4309735.42128 1390675.712502, -4310020.47631 1389588.3499, -4310689.930962 1389758.902721, -4310681.545192 1389836.47543, -4310841.519283 1389990.025338, -4310858.590659 1390006.410691, -4311030.297669 1390148.552782, -4311204.923318 1390265.84627, -4311364.809349 1390338.368809, -4311488.652322 1390388.265483, -4311689.679704 1390438.392417, -4311899.146213 1390473.061427, -4312452.01943 1390526.033582, -4313794.469632 1390660.86619, -4314424.397671 1390723.85409, -4314783.751502 1390789.533216, -4314952.462924 1390820.368653, -4315519.607755 1390957.062374, -4315652.866293 1390990.375685, -4315739.145978 1391011.945588, -4315762.784104 1391017.855175, -4315773.756577 1391020.711703, -4315756.882374 1391077.492947, -4315714.851177 1391218.922838, -4315699.413121 1391270.868902, -4315504.77879 1392072.536526, -4315415.264069 1392428.783455, -4315350.418295 1392689.598426, -4315196.639421 1393300.530705, -4314934.82345 1394336.422233, -4314743.077486 1395096.983244, -4314667.407372 1395393.238705, -4314594.281297 1395681.816014, -4314463.29531 1396174.821108, -4314067.936587 1396071.375125, -4313799.365144 1396000.297219, -4313530.099732 1395929.552129, -4313258.980758 1395856.128723, -4312987.479659 1395785.13484, -4312718.168659 1395715.981873, -4312646.132112 1395697.099062, -4312446.679208 1395644.657864, -4312366.649018 1395623.694013, -4312175.856275 1395573.507166, -4311905.340701 1395502.90718, -4311635.287604 1395432.292324, -4311337.216014 1395352.984012, -4311046.199845 1395276.576388, -4310774.412303 1395206.606817, -4310502.601123 1395133.767172, -4310252.228748 1395068.824985, -4310001.510074 1395002.387241, -4309750.07288 1394935.920509, -4309488.570435 1394867.60152, -4309179.425195 1394787.429011, -4308648.286882 1394657.835591, -4308381.170553 1394592.624802, -4308097.03383 1394522.365345, -4307824.489877 1394455.638064, -4307572.30142 1394394.426243, -4307303.71129 1394327.731688, -4307051.634945 1394265.973422, -4306797.600495 1394194.87245))",10,60.0,141.45,2.14,94.3,24444.0,244440.0,8,6,2,0
Southmoor Park,3957.0,3627.0,330.0,896.0,2731.0,53.0,0.0,0.0,6042.0,2135.0,717430.0,111692.0,"POLYGON ((-4277073.627345 1370250.076764, -4277667.987667 1370398.858051, -4279741.622115 1370922.532658, -4280226.392257 1371044.985071, -4280098.980244 1371528.464146, -4279551.605589 1373604.323507, -4278881.607265 1376146.618612, -4278873.96538 1376175.627926, -4280204.03965 1378431.678398, -4280363.620901 1378702.357689, -4280710.615394 1379290.924582, -4280726.280875 1379316.508373, -4280756.833217 1379369.318548, -4280759.64971 1379359.231909, -4283321.285223 1379999.874572, -4282974.874311 1381272.996134, -4282630.954985 1382537.899316, -4282628.131188 1382537.195033, -4282304.694455 1382454.784108, -4281984.751946 1382374.207507, -4281667.089621 1382294.974393, -4281397.657955 1382226.407798, -4281122.698117 1382160.206795, -4281094.774876 1382152.821833, -4280851.967183 1382089.499295, -4280803.517002 1382078.5181, -4280580.510973 1382022.950186, -4280512.237211 1382007.647285, -4280197.854222 1381934.044348, -4279903.479349 1381864.591873, -4279555.191718 1381775.098313, -4279451.27067 1381745.616607, -4279200.135873 1381681.200407, -4279044.938053 1381641.387154, -4279007.397307 1381632.537533, -4278996.745019 1381534.433693, -4278981.945449 1381398.133636, -4278916.617399 1380892.054129, -4278827.311559 1380311.911083, -4278224.673434 1376817.526018, -4278088.542013 1376060.92228, -4278063.768838 1375923.235124, -4277962.627121 1375361.100832, -4277851.021518 1374744.261957, -4277833.534452 1374578.620387, -4277732.36277 1373987.845884, -4277564.917593 1373079.140672, -4277418.322764 1372192.327067, -4277392.390562 1372053.621344, -4277382.582597 1372001.161267, -4277372.031454 1371925.143947, -4277364.707634 1371882.764732, -4277255.511784 1371250.899961, -4277203.378655 1370997.626837, -4277133.607467 1370593.399249, -4277095.327353 1370381.916836, -4277073.627345 1370250.076764), (-4277354.332616 1371348.692546, -4277389.654181 1371357.887638, -4277623.901878 1370424.321667, -4277349.79686 1370352.965239, -4277309.429074 1370388.954789, -4277295.14547 1371005.471787, -4277354.332616 1371348.692546))",4,25.0,159.04,3.0,70.68,15713.75,62855.0,3,3,0,0
Hampden South,9277.0,8739.0,538.0,4377.0,4362.0,57.0,0.0,0.0,17865.0,2009.0,567875.0,90177.0,"POLYGON ((-4277095.327353 1370381.916836, -4277133.607467 1370593.399249, -4277203.378655 1370997.626837, -4277255.511784 1371250.899961, -4277364.707634 1371882.764732, -4277372.031454 1371925.143947, -4277382.582597 1372001.161267, -4277392.390562 1372053.621344, -4277418.322764 1372192.327067, -4277564.917593 1373079.140672, -4277732.36277 1373987.845884, -4277833.534452 1374578.620387, -4277851.021518 1374744.261957, -4277962.627121 1375361.100832, -4278063.768838 1375923.235124, -4278088.542013 1376060.92228, -4278224.673434 1376817.526018, -4278827.311559 1380311.911083, -4278916.617399 1380892.054129, -4278981.945449 1381398.133636, -4278996.745019 1381534.433693, -4279007.397307 1381632.537533, -4278988.363935 1381627.408823, -4278820.672335 1381585.975709, -4278520.481415 1381506.665976, -4278160.391291 1381420.287243, -4277500.488728 1381254.05186, -4277432.096889 1381237.022048, -4276988.172517 1381126.365274, -4276515.153951 1381008.392604, -4276452.94185 1380992.609323, -4276382.925049 1380975.520327, -4276128.239408 1380911.931488, -4275982.673392 1380875.716082, -4275922.955517 1380860.81588, -4275862.12029 1380845.62471, -4275592.856068 1380778.499049, -4275330.881187 1380713.141858, -4275259.220576 1380695.261367, -4275157.914277 1380670.051656, -4274590.921271 1380526.065724, -4274117.784815 1380404.575608, -4273630.534746 1380282.33137, -4272483.650966 1379985.2097, -4272356.0057 1379952.140659, -4271752.375304 1379797.067406, -4270690.840162 1379525.503443, -4270621.947357 1379506.018953, -4270550.600417 1379487.057767, -4270268.345166 1379415.02807, -4269820.42575 1379300.72197, -4269263.487722 1379157.932564, -4268902.765189 1379065.44948, -4268884.491339 1379060.770287, -4268575.730709 1378981.709531, -4268540.33542 1378972.650524, -4269220.500279 1376455.144875, -4269655.540641 1374842.53839, -4271162.990838 1374340.90629, -4271194.556677 1374224.611714, -4271865.153839 1371668.446746, -4272535.278977 1369114.094564, -4275099.939778 1369756.035107, -4277073.627345 1370250.076764, -4277095.327353 1370381.916836))",32,68.75,197.27,2.35,97.02,8422.97,252689.0,27,19,5,3
Indian Creek,2167.0,2048.0,119.0,1453.0,595.0,0.0,0.0,0.0,4237.0,2089.0,451484.0,81157.0,"POLYGON ((-4272095.007117 1391796.391721, -4272083.096044 1391834.981041, -4272033.093654 1392040.405142, -4271870.413811 1392710.841056, -4271686.665821 1393405.968625, -4270399.89154 1393075.690881, -4270278.844067 1393557.876074, -4270097.888752 1393512.449141, -4270214.385937 1393814.640977, -4270077.474671 1394360.018768, -4268817.146687 1394035.212821, -4268798.630079 1394001.434159, -4269113.291223 1392744.967422, -4269434.756185 1391461.481673, -4268145.076449 1391131.558946, -4268464.017374 1389848.836436, -4269755.97924 1390177.932501, -4270082.181591 1388903.041291, -4270703.96494 1389061.806903, -4272665.062237 1389565.275316, -4272338.09486 1390838.109246, -4272095.007117 1391796.391721), (-4271800.654026 1392067.799759, -4270927.418344 1390982.740901, -4270723.552503 1391791.820699, -4271800.654026 1392067.799759))",9,77.78,114.59,1.71,66.85,6520.0,45640.0,6,4,1,1
Goldsmith,3005.0,2763.0,241.0,810.0,1954.0,39.0,0.0,0.0,5878.0,1568.0,531591.0,63129.0,"POLYGON ((-4273242.539825 1389700.703903, -4273207.777593 1389674.475996, -4273175.106867 1389645.17597, -4273145.190252 1389613.23473, -4273118.238147 1389578.836273, -4273094.46118 1389542.164446, -4273074.006616 1389503.645186, -4273065.099247 1389484.277027, -4272819.919511 1388962.44448, -4272992.007241 1388292.464418, -4273125.180591 1387765.022462, -4273318.402139 1387000.960933, -4273637.745994 1385736.772832, -4274277.671283 1385905.996691, -4274690.257613 1386009.399244, -4275014.331461 1386090.792902, -4275334.639939 1386171.078028, -4275653.775846 1386251.315587, -4276184.051483 1386384.451656, -4276668.506264 1386492.23145, -4276935.238366 1386561.557579, -4277000.366149 1386575.911105, -4277119.156541 1386604.157167, -4277144.378802 1386610.15456, -4277353.299799 1386662.931096, -4277462.628029 1386690.549061, -4276983.404584 1388597.891244, -4277355.943164 1389029.400715, -4277359.542055 1389033.437483, -4277374.410143 1389047.770085, -4277390.623739 1389060.903055, -4277407.762225 1389072.468577, -4277425.825298 1389082.46644, -4277444.781575 1389091.017775, -4277464.483749 1389097.696729, -4277484.595208 1389102.803197, -4277510.133457 1389107.90142, -4277537.79778 1389115.748955, -4277564.316783 1389126.010826, -4277589.964117 1389138.628856, -4277614.56078 1389153.298301, -4277637.559934 1389170.135177, -4277659.024514 1389188.897513, -4277678.744153 1389209.401263, -4277696.71881 1389231.646437, -4277712.769554 1389255.328229, -4277794.528515 1389396.732403, -4277769.399475 1389493.261376, -4278097.935275 1389575.817218, -4278028.263828 1389854.363572, -4278038.376321 1389865.133257, -4278051.454987 1389876.416855, -4278065.910649 1389886.379793, -4278080.354806 1389894.402291, -4278096.449513 1389901.04625, -4278132.551147 1389914.190128, -4278150.65427 1389920.065289, -4278161.666922 1389922.415539, -4278167.473179 1389923.927062, -4278174.078174 1389924.354931, -4278187.982529 1389925.520524, -4278201.444452 1389925.408502, -4278212.918045 1389924.003782, -4278227.578056 1389922.26636, -4278246.349409 1389918.62844, -4278256.739278 1389916.424963, -4278272.481466 1389912.515105, -4278299.211907 1389904.103541, -4278321.388734 1389896.314828, -4278337.971107 1389890.169537, -4278357.992128 1389882.72373, -4278261.590168 1390272.881589, -4278545.075932 1390345.905525, -4278578.916336 1390213.929236, -4278664.1271 1390215.058456, -4278644.769228 1390285.449329, -4278789.209771 1390322.017807, -4278755.498448 1390459.452491, -4278880.720742 1390489.467951, -4278895.070283 1390435.339248, -4278904.505442 1390437.795472, -4278970.217683 1390170.488798, -4278956.669809 1390166.961925, -4279005.865739 1389974.014879, -4279513.068388 1390099.595257, -4279551.312804 1389941.770664, -4280010.225986 1390057.363306, -4280231.336031 1390112.986759, -4279687.080453 1387936.751749, -4279461.984873 1387882.544802, -4279442.400275 1387879.383873, -4279420.321903 1387873.894676, -4279398.747435 1387866.469893, -4279377.887121 1387857.293728, -4279358.014572 1387846.30809, -4279339.098224 1387833.634005, -4279321.379912 1387819.334355, -4279395.83573 1387704.00178, -4279374.633315 1387642.555286, -4279378.087074 1387567.765781, -4279342.843787 1387484.839849, -4278902.370061 1387168.422623, -4278837.799353 1387136.63048, -4278852.85853 1387071.836948, -4278494.30346 1386983.532828, -4278508.509379 1387019.263027, -4278271.984352 1387115.137139, -4278248.544694 1387059.308008, -4278390.443306 1386998.472729, -4278352.259836 1386916.101774, -4278351.802471 1386915.115179, -4278490.575369 1386950.4089, -4278515.723965 1386956.818718, -4278651.939181 1386991.245795, -4278740.717186 1387013.065643, -4278853.274341 1387041.462981, -4279145.216389 1387114.750924, -4279196.030315 1387111.163383, -4279518.744464 1387181.014069, -4279569.680612 1387192.20908, -4279687.019967 1387218.228454, -4279716.971791 1387336.91842, -4279772.095981 1387557.28524, -4279928.878024 1388186.06428, -4279980.218252 1388369.688192, -4280108.484759 1388889.86588, -4280352.567674 1389871.575198, -4280378.203481 1389970.967112, -4280409.340576 1390077.597225, -4280424.324294 1390145.676796, -4280467.952876 1390278.54103, -4280720.452131 1390991.109234, -4280822.359384 1391263.162166, -4280940.160306 1391570.293045, -4280956.349744 1391614.795379, -4280973.660516 1391662.38019, -4280973.527381 1391662.42859, -4280949.190162 1391656.027191, -4280897.305706 1391646.038579, -4280783.78031 1391619.713776, -4280713.916424 1391602.30133, -4280328.176866 1391505.370178, -4280128.886275 1391455.16871, -4278641.930534 1391080.181519, -4278576.627856 1391061.27744, -4278222.05716 1390974.010943, -4278092.13739 1390942.59517, -4277776.447673 1390861.364938, -4277426.609208 1390768.355215, -4276829.879865 1390615.58646, -4276057.142283 1390422.35755, -4275197.839678 1390204.148521, -4273940.523552 1389883.302881, -4273497.575558 1389771.360504, -4273453.131308 1389758.47621, -4273421.100876 1389747.965009, -4273410.103754 1389743.864713, -4273369.327331 1389747.530122, -4273279.666687 1389723.80172, -4273242.539825 1389700.703903))",25,56.0,95.96,1.59,85.29,5262.67,126304.0,15,11,2,2
